Characteristic,Example 1,Example 2,Example 3,Example 4,Example 5,Example 6,Example 7,Example 8,Example 9,Example 10,Example 11,Example 12,Persona 13: The Aspiring Engineer,Persona 14: The Social Science Advocate,Persona 15: The Creative Entrepreneur,Persona 16: The Career-Changer,Persona 17: The First-Generation Scholar,Persona 18: The Driven Freshman,Persona 119: The Social Science Senior,Persona 20: The Tech-Savvy Junior,Persona 21: The Returning Career-Changer,Persona 22: The First-Gen Sophomore
Age,18-year-old freshman,21-year-old sophomore,30-year-old returning student,24-year-old graduate student,26-year-old junior,19-year-old sophomore,22-year-old senior,35-year-old MBA student,28-year-old PhD candidate,20-year-old sophomore,32-year-old first-year law student,23-year-old junior,19-year-old freshman,20-year-old Junior,21-year-old sophmore,32-year-old sophmore,18-year-old freshman,18-year-old freshman,22-year-old senior,23-year-old junior,30-year-old returning student,20-year-old sophomore
Family Situation,Single with no dependents,"Married, no children",Single parent with two kids,"Engaged, no children",Married with a toddler,Living with parents,"Single, no children",Divorced with shared custody,"Married, no children","Lives on campus, single","Single, caregiver for sibling",Lives with partner,"Lives on campus, parents are supportive, one younger sibling.","Lives off-campus with roommates, close-knit family, one older sibling.","Lives at home, supportive parents who own a small business.","Married with two young children (ages 4 and 6), supportive spouse.","Lives at home with parents and younger siblings, parents are working-class immigrants.","Lives on campus, parents are supportive, one younger sibling.","Lives off-campus with roommates, close-knit family, one older sibling.","Lives off-campus with roommates, supportive parents, only child.","Married with two young children (ages 4 and 6), supportive spouse.","Lives at home with parents and younger siblings, parents are working-class immigrants."
Work and Study Balance,"Full-time student, no job","Part-time job, full-time student","Full-time job, part-time student","Research assistant, part-time","Part-time job, full-time student","No job, full-time student","Full-time student, internships","Full-time job, part-time student","Research assistant, full-time student",Part-time retail job,"Full-time job, night classes","Student-athlete, full-time","Full-time student (16 credits), part-time campus job (10 hrs/week) for spending money. Studies consistently.","Full-time student (15 credits), volunteers 5-8 hours/week at a local non-profit. Manages time well.","Full-time student (12 credits), runs an online craft business (15-20 hrs/week). Often studies late.","Part-time student (9 credits), works full-time (40 hrs/week) in customer service. Studies evenings and weekends.","Full-time student (15 credits), works part-time (20 hrs/week) to contribute to household income.","Full-time student (16 credits), part-time campus job (8 hrs/week) for spending money. Studies consistently.","Full-time student (15 credits), volunteers 5-8 hours/week at a local non-profit. Manages time well.","Full-time student (15 credits), part-time internship (15-20 hrs/week) in software development. Juggles project deadlines.","Part-time student (9 credits), works full-time (40 hrs/week) in customer service. Studies evenings and weekends.","Full-time student (15 credits), works part-time (20 hrs/week) to contribute to household income. Studies late at night."
Previous Education,High school valedictorian,GED recipient,"Some college, no degree",Undergraduate degree in sociology,Associate degree completed,Top 10% in high school,Community college transfer,Bachelor's degree in business,Master's in biology,Homeschooled background,Bachelor's in history,"Some college, returning","Graduated high school with honors, strong STEM focus, some AP Calculus and Physics credits.","Graduated high school with a 3.8 GPA, active in debate club and student government.","High school diploma, vocational courses in graphic design, self-taught in e-commerce.","Bachelor's degree in English from 10 years ago, now returning for a new field.","Graduated high school with a 3.5 GPA, first in family to attend college.","Graduated high school with honors, strong STEM focus, multiple AP credits in Math and Science.","Graduated high school with a 3.8 GPA, active in debate club and student government.","Graduated high school with a strong STEM background, some college credits from dual enrollment.","Bachelor's degree in English from 10 years ago, now returning for an Associate's in nursing.","High school diploma, no prior college experience, first in family to attend college."
Subject Strengths,Strong in science,Excels in English,Good with math,Skilled in research methods,Good at presentations,Strong in history,Excels in mathematics,Financial analysis expertise,Excellent at data analysis,Strong in creative writing,Excels in logic and reasoning,Good in social studies,"Mathematics, physics, computer programming, logical problem-solving.","Writing, sociology, political science, critical analysis, research.","Graphic design, marketing, art history, creative writing, digital media.","English composition, literature, communication, organizational skills.","English, history, strong work ethic, determined to succeed.","Algebra, calculus, physics, strong in problem-solving and logic.","Writing, sociology, political science, critical analysis, research methods.","Advanced programming (Python, Java), data structures, algorithms, logical reasoning.","English composition, literature, communication, organizational skills, customer service.","English, history, strong work ethic, determined to succeed, basic math."
Subject Weaknesses,Struggles with math,Weak in science,Struggles with literature,Struggles with statistics,Weak in analytical skills,Weak in sciences,Struggles in public speaking,Struggles with creative tasks,Struggles with presentations,Weak in sciences,Weak in technical writing,Struggles with focus,"Essay writing, public speaking, humanities courses requiring extensive reading.","Statistics, advanced mathematics, natural sciences requiring lab work.","Advanced calculus, complex scientific theories, traditional academic research papers.","Current technology (software, online learning platforms), complex STEM subjects.","Advanced mathematics, scientific concepts, sometimes struggles with academic vocabulary.","Essay writing, public speaking, humanities courses, abstract philosophical concepts.","Statistics, advanced mathematics, natural sciences requiring lab work.","Humanities essays, public speaking (large groups), abstract philosophical concepts.","Current technology (new software, online learning platforms), complex STEM subjects.","Advanced mathematics, scientific concepts, sometimes struggles with academic vocabulary and theoretical concepts."
Academic Confidence,Highly confident,Moderate confidence,Low confidence,Highly confident in skills,Growing confidence,Very high confidence,Confident in technical skills,Highly confident in business,Very high academic confidence,Building confidence,Confident in analytical skills,Moderate confidence,"High in STEM subjects, moderate in humanities. Believes in his ability to master difficult concepts.","High, particularly in discussions and writing. Confident in her analytical skills.","High in creative and project-based work, lower in traditional lecture/exam settings.","Moderate, feels confident in her ability to learn but rusty on academic norms.","Moderate, sometimes experiences imposter syndrome but is very motivated to prove herself.","High in STEM subjects, moderate in humanities. Believes in his ability to master difficult concepts.","High, particularly in discussions and writing. Confident in her analytical skills.","High, particularly in problem-solving and coding challenges.","Moderate, feels confident in her ability to learn but rusty on academic norms.","Moderate, sometimes experiences imposter syndrome but is very motivated to prove herself."
Short-Term Academic Goals,Pass the class with an A,Understand key concepts,Complete assignments on time,Publish research findings,Improve analytical skills,Gain a deep understanding of material,Improve public speaking skills,Apply course to real job tasks,Complete dissertation,Pass the class with solid grade,Master legal foundations,Balance athletics and academics,"Maintain a 3.8 GPA, get an A in his Circuits class, join a robotics club.","Get an A in her research methods course, secure an internship with a human rights organization.","Successfully launch a new product line for her business, get a B or higher in all courses.","Pass all her prerequisites for the nursing program, get accustomed to online learning.","Maintain a 3.0 GPA, utilize tutoring services, understand financial aid processes.","Maintain a 3.8 GPA, join an engineering club, learn campus resources.","Get an A in her research methods course, secure an internship with a human rights organization for the summer.","Successfully complete his capstone project, secure a full-time software development job offer for post-graduation.","Pass all her prerequisites for the nursing program, get accustomed to the university's online learning environment.","Maintain a 3.0 GPA, utilize tutoring services consistently, understand financial aid processes better."
Long-Term Career Goals,Aspires to be a doctor,Interested in teaching,"Undecided, exploring options",Wants to become a professor,Aspires to manage a team,Planning to go into law,Aims to work in data science,Seeks executive-level roles,Academic research career,"Undecided, exploring interests",Aspires to be a lawyer,Interested in sports management,"Electrical engineer, potentially work for a tech company or in renewable energy.","Policy analyst, social justice advocate, potentially pursue a Master's in Public Policy.","Full-time entrepreneur, creative director for her own brand, or freelance artist.","Registered Nurse (RN), specializing in pediatrics or critical care.","Teacher, social worker, or pursue a Master's degree in her chosen field.","Electrical engineer, potentially work for a tech company or in renewable energy.","Policy analyst, social justice advocate, potentially pursue a Master's in Public Policy.","Software engineer, data scientist, cybersecurity specialist, start-up founder.","Registered Nurse (RN), specializing in pediatrics or critical care.","Teacher, social worker, or pursue a Master's degree in her chosen field."
Learning Disabilities or Challenges,ADHD,Dyslexia,Anxiety,None,Dysgraphia,Mild dyslexia,Mild anxiety,Visual processing disorder,Hearing impairment,None,Speech impediment,Memory retention challenges,Asian American (Vietnamese-American),White/Caucasian,Hispanic/Latinx (Mexican-American),White/Caucasian,Black/African American,Asian American (Vietnamese-American),White/Caucasian,Hispanic/Latinx (Mexican-American),White/Caucasian,Black/African American
